,title,price,address,township,car_boxes,rooms,bathroms,squareM,description
33,departamento en granjas palo alto,15000.0,"granjas de palo alto, cuajimalpa de morelos",cuajimalpa,1.0,2.0,2.0,67.0, desarrollo moderno de tres complejos cada uno de 28 departamentos construccion 65m2 venta o renta de departamento a unos metros del colegio merichi calle tranquila departamento de dos recamaras dos baños completos un lugar de estacionamiento cuenta con roof top y vista espectacular lavadoras y secadora de ropa para la comunidad seguridad 24 por 7 a unos pasos de vista hermosa amenidades roof top y centro de lavanderia predial 1016 anuales mtto 2 000 mensual 2 800 000 venta 15 000 renta mantenimiento incluido renta no negociable easybroker id eb jm9327 
34,plaza carso: 3 recamaras sin muebles,65000.0,"lago zurich 245 ampliacion granada, miguel hidalgo",miguel hidalgo,3.0,3.0,4.0,240.0, impresionante departamento de 240 m2 3 recamaras cada una con baño completo preciosas vistas al soumaya amplia sala comedor espaciosa cocina abierta cuarto de servicio area de lavado baño de visitas techos de 3 metros muy luminoso piso de madera en las recamaras 3 cajones de estacionamiento conexion directa con la plaza completo conjunto de amenidades vigilancia 24 horas estacionamiento para visitas las fotos que aparecen tienen derechos de autor y no pueden ser usadas 
35,departamento en polanco,67000.0,"polanco, miguel hidalgo",miguel hidalgo,2.0,2.0,2.0,170.0, en buen estado con mucha luz estudio cuarto de servicio bodega acabados marmol en pasillo canto duela de bambu en los piso cocina integral equipada easybroker id eb io9863 
36,"departamento amueblado  -  parques del pedregal, tlalpan",50000.0,"tlalpan, tlalpan",tlalpan,0.0,4.0,4.0,340.0, extraordinario departamento amueblado con gran gusto con una vista hermosa y arbolada ubicado dentro de fraccionamiento seguro ideal para hacer home office y convivir con la familia con amplios y funcionales espacios cuatro recamaras cada una con su baño y la principal con vestidor cuarto de tv oficina equipada cocina con antecomedor area de lavado cuarto de servicio con baño hall distribuidor piano recientemente afinado cada recamara cuenta con un escritorio y silla las camas y colchones son nuevos el elevador llega directamente al departamento el edificio tiene solo 5 departamentos y salon de usos multiples amplio y comodo con suficiente espacio para albergar a familias grandes muy iluminado y con vistas al bosque de tlalpan el departamento tiene 4 lugares de estacionamiento cerca del bosque de tlalpan y de perisur bien comunicado en una zona residencial rodeada de areas verdes y servicios no admite mascotas la renta incluye mantenimiento no te pierdas esta hermosa propiedad 
37,plaza carso: amueblado muy bonito de 3 recamaras,60000.0,"polanco, miguel hidalgo",miguel hidalgo,2.0,3.0,3.0,136.0, departamento de 136 m2 completamente amueblado y equipado 3 recamaras muy amplias con baño completo area de lavado amplia cocina abierta con linea blanca piso de madera en perfecto estado 2 cajones de estacionamiento muy silencioso amplio conjunto de amenidades estacionamiento para visitas vigilancia 24 horas ubicacion inmejorable con todos los servicios alrededor mantenimiento incluido en la renta solo se renta para periodos de larga estancia 
39,departamento en renta en be grand contadero,26000.0,"contadero, cuajimalpa de morelos",cuajimalpa,2.0,3.0,2.0,123.0, departamento en renta en be grand contadero construccion 123m2 3 recamaras 2 baños 2 estacionamientos easybroker id eb iy2971 
40,departamento en the point santa fe,19500.0,"santa fe, alvaro obregon",alvaro obregon,1.0,1.0,1.0,78.0, bonito departamento en residencia the point ideal para ejecutivos amenidades aaa seguridad las 24 horas excelente ubicacion area comercial en planta baja construccion 78m2 con muy buena distribucion cocina abierta espacio social con balcon recamara con buena iluminacion vestidor y baño completo precio 19 500 3709 26 de mantenimiento incluido 1 recamara 1 baño 1 estacionamiento balcon interior piso 8 antigüedad tres años amenidades aaa alberca gimnasio spa salon de usos multiples salon de adultos roof garden espectacular centro comercial en los primeros pisos excelente seguridad y mantenimiento easybroker id eb ez0750 
41,plaza carso: amueblado de 2 recamaras con aire acondicionado,38000.0,"polanco, miguel hidalgo",miguel hidalgo,2.0,2.0,3.0,113.0, departamento en plaza carso completamente amueblado y equipado 113 m2 2 recamaras cada una con baño completo recamara principal con vestidor family room baño de visitas linda cocina abierta area de lavado espacios muy amplios muy luminoso muy bien distribuido aire acondicionado cuenta con bodega 2 cajones de estacionamiento completo conjunto de amenidades vigilancia 24 horas mantenimiento incluido en el monto de la renta solo se renta para periodos de larga estancia 
42,departamento en fontana santa fe,20500.0,"locaxco, cuajimalpa de morelos",cuajimalpa,2.0,2.0,1.0,110.0, fontana santa fe av division del norte no 40 construccion 56m2 dos recamaras con closets 1 baño completo cocina equipada con estufa microondas y refrigerador y lava secadora de ropa estancia sala y comedor roof garden privado de 54m2 con bodega pequeña asador y bodega posible medio baño adicional el departamento cuenta ya con persianas black out y traslucidas y calentador en cada habitacion cuenta con dos estacionamientos en tandem y una bodega en el sotano de 5m2 el edificio cuenta con salon de usos multiples gimnasio equipado ludoteca business center entre otros easybroker id eb gx1716 
43,3 cumbres santa fe,37000.0,"san mateo tlaltenango, cuajimalpa de morelos",cuajimalpa,2.0,3.0,3.0,195.0, solo una familia realmente afortunada podra disfrutar este sofisticado departamento lujo belleza y comodidad al alcance de tu presupuesto y con el mejor precio de la zona este precioso departamento se ubica en piso 4 se constituye de amplia sala comedor con vistas al oriente y al sur la cocina semi abierta para que disfrutes el gusto de cocinar para familiares y amigos y un amplio balcon en sala comedor tiene 3 espaciosas recamaras cada una con baño privado y la principal con vestidor y balcon de amplios espacios donde podras disfrutar el atardecer del poniente baño de visitas y el area de lavado y cuarto de servicio integrados comodos y practicos elevador de servicio y solo 2 departamentos por piso atractivo y con acabados y persianas en todo el departamento las amenidades son magnificas todo lo que necesitas en el mismo espacio ludoteca gimnasio profesional con aparatos de ultima generacion alberca y jacuzi con vestidores que tienen vapor y sauna salon de eventos y estupendas areas verdes conocelo y confirma el mejor precio por metro cuadrado un lujo vivir en este comodo y funcional departamento si quieres ir al sur en tan solo 8 minutos y con el area de santa fe a 3 vivelo y descubre el gusto de vivir aqui te encantara easybroker id eb im2856 
